from,to,rel_label,description,role,technologies,year,abbreviation,date
SafeNetics,6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
SatelIoT Services,6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
Sequans Communications,6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
Software Radio Systems,6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
SOLIDSHIELD,6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
Suite5 Data Intelligence Solutions Ltd,6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
Telcaria,6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
Trust-IT s.r.l.,6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
TTG International Ltd.,6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
UBITECH,6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
Ubiwhere,6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
Wave Up s.r.l.,6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
WEST Aquila Srl,6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
WINGS ICT Solutions,6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
"Yerba Buena VR Europe, S.L. (YBVR)",6G IA,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-06-28
National Instruments (Nubicom),6G Open Hub,PARTNERSHIP,No online summary found.,Commercial,,2022.0,KR,2022-09-07
Yonsei University,6G Open Hub,PARTNERSHIP,No online summary found.,Academia,,2022.0,KR,2022-09-07
HanYang University,6G Open Hub,PARTNERSHIP,No online summary found.,Academia,,2022.0,KR,2022-09-07
Pohang University of Science and Technology,6G Open Hub,PARTNERSHIP,No online summary found.,Academia,,2022.0,KR,2022-09-07
SensorView,6G Open Hub,PARTNERSHIP,No online summary found.,Commercial,,2022.0,KR,2022-09-07
Tsinghua University,6G Open Hub,PARTNERSHIP,No online summary found.,Academia,,2022.0,CN,2022-09-07
Singapore University of Technology & Design,6G Open Hub,PARTNERSHIP,No online summary found.,Academia,,2022.0,SG,2022-09-07
LG Electronics,6G THz Demonstration,TESTBED,No online summary found.,Commercial,,2022.0,KR,2022-09-14
Fraunhofer Heinrich Hertz Institute,6G THz Demonstration,TESTBED,No online summary found.,Academia,,2022.0,DE,2022-09-14
Infocomm Media Development Authority,Future Communications Connectivity (FCC) Lab,RESOURCE,No online summary found.,Government,,2022.0,SG,2022-09-19
Singapore University of Technology and Design,Future Communications Connectivity (FCC) Lab,RESOURCE,No online summary found.,Academia,,2022.0,SG,2022-09-19
Rohde & Schwarz,6G JCAS,PARTNERSHIP,No online summary found.,Commercial,,2022.0,CN,2022-09-20
China Mobile Research Institute,6G JCAS,PARTNERSHIP,No online summary found.,Research,,2022.0,CN,2022-09-20
China Mobile Research Institute,China Mobile,RESOURCE,No online summary found.,Research,,2002.0,CN,2002-12-31
AI and Digital Science Research Centre (AIDRC),End-to-end 6G Reflective Intelligent Surface multi-reflector trial at 27 GHz,TESTBED,No online summary found.,Research,,2022.0,,2022-10-06
Greenerwave,End-to-end 6G Reflective Intelligent Surface multi-reflector trial at 27 GHz,TESTBED,No online summary found.,Commercial,,2022.0,,2022-10-06
AI and Digital Science Research Centre (AIDRC),Technology Innovation Institute,PARTNERSHIP,No online summary found.,Research,,,,
B5GPC,B5PC Committee,PARTNERSHIP,No online summary found.,Research,,2022.0,JP,2022-11-17
NorthEastern University,B5PC Committee,PARTNERSHIP,No online summary found.,Academia,,2022.0,,2022-11-17
Deutsche Telekom,6G-Takeoff Project,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-07-10
German Federal Ministry of Education and Research,6G-Takeoff Project,PROJECT,No online summary found.,Government,,2022.0,DE,2022-07-10
Nokia,Hexa-X 2,PROGRAM,No online summary found.,Commercial,,2023.0,,2023-01-01
Orange,Hexa-X 2,PROGRAM,No online summary found.,Commercial,,2023.0,,2023-01-01
Telecom Italia,Hexa-X 2,PROGRAM,No online summary found.,Commercial,,2023.0,,2023-01-01
TU Dresden,Hexa-X 2,PROGRAM,No online summary found.,Academia,,2023.0,,2023-01-01
University of Oulu,Hexa-X 2,PROGRAM,No online summary found.,Academia,,2023.0,,2023-01-01
IMEC (Interuniversity Microelectronics Centre),Hexa-X 2,PROGRAM,No online summary found.,Academia,,2023.0,,2023-01-01
ATOS,Hexa-X 2,PROGRAM,No online summary found.,Commercial,,2023.0,,2023-01-01
Ericsson,Hexa-X 2,PROGRAM,No online summary found.,Commercial,,2023.0,,2023-01-01
Hexa-X,Hexa-X 2,PROGRAM,No online summary found.,Association,,2023.0,,2023-01-01
VMWare,VMware Next G-AI Research and Innovation Center,RESOURCE,No online summary found.,Commercial,,2022.0,CA,2022-10-11
Mitacs,VMware Next G-AI Research and Innovation Center,RESOURCE,No online summary found.,Not for Profit,,2022.0,CA,2022-10-11
Centech,VMware Next G-AI Research and Innovation Center,RESOURCE,No online summary found.,Not for Profit,,2022.0,CA,2022-10-11
IEEE,VMware Next G-AI Research and Innovation Center,RESOURCE,No online summary found.,Standardization,,2022.0,CA,2022-10-11
"University of Bristol, Smart Internet Lab",6G Futures,PROJECT,No online summary found.,Research,,2021.0,GB,2021-08-04
Kings College London,6G Futures,PROJECT,No online summary found.,Research,,2021.0,GB,2021-08-04
University of Strathclyde,6G Futures,PROJECT,No online summary found.,Research,,2021.0,GB,2021-08-04
Deutsche Telekom,6G NeXt,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-10-28
German Federal Ministry of Education and Research,6G NeXt,PROJECT,No online summary found.,Government,,2022.0,DE,2022-10-28
Inatel,Inatel-Taiwan University Research Partnership,PARTNERSHIP,No online summary found.,Research,,2022.0,BR,2022-10-28
Taiwan University,Inatel-Taiwan University Research Partnership,PARTNERSHIP,No online summary found.,Academia,,2022.0,,2022-10-28
Nokia,KOMSENS 6G,PROJECT,No online summary found.,Commercial,,2022.0,DE,2022-11-15
German Federal Ministry of Education and Research,KOMSENS 6G,PROJECT,No online summary found.,Government,,2022.0,DE,2022-11-15
ETSI,ETSI THz ISG,PROGRAM,No online summary found.,Standardization,Terahertz,2022.0,,2022-12-12
UK Government,UK 6G Research Funding,RESOURCE,No online summary found.,Government,,2022.0,GB,2022-12-13
University of York,UK 6G Research Funding,RESOURCE,No online summary found.,Academia,,2022.0,GB,2022-12-13
Bristol University,UK 6G Research Funding,RESOURCE,No online summary found.,Academia,,2022.0,GB,2022-12-13
Surrey University,UK 6G Research Funding,RESOURCE,No online summary found.,Academia,,2022.0,GB,2022-12-13
Nokia,UK 6G Research Funding,RESOURCE,No online summary found.,Commercial,,2022.0,GB,2022-12-13
Ericsson,UK 6G Research Funding,RESOURCE,No online summary found.,Commercial,,2022.0,GB,2022-12-13
Samsung,UK 6G Research Funding,RESOURCE,No online summary found.,Commercial,,2022.0,GB,2022-12-13
ATIS,ATIS - O-RAN Cooperation,PARTNERSHIP,No online summary found.,Standardization,,2023.0,,2023-01-13
O-RAN Alliance,ATIS - O-RAN Cooperation,PARTNERSHIP,No online summary found.,Association,,2023.0,,2023-01-13
DoT (India),Technology Innovation Group,PROGRAM,No online summary found.,Government,,2022.0,IN,2022-12-27
Kings College London,Realising Enabling Architectures and Solutions for Open Networks (REASON),PROJECT,No online summary found.,Academia,,2022.0,GB,2022-12-20
UK Government,Realising Enabling Architectures and Solutions for Open Networks (REASON),PROJECT,No online summary found.,Government,,2022.0,GB,2022-12-20
Ericsson,NTT DoCoMo 6G Trials,TESTBED,No online summary found.,Commercial,,2023.0,JP,2023-03-02
Keysight Technologies,NTT DoCoMo 6G Trials,TESTBED,No online summary found.,Commercial,,2023.0,JP,2023-03-02
6G IA,ETSI 6G IA MoU,MOU,No online summary found.,Association,,2023.0,,2023-01-23
ETSI,ETSI 6G IA MoU,MOU,No online summary found.,Standardization,,2023.0,,2023-01-23
BeGREEN,SNS JU,PROGRAM,"Smart communication components, systems and networks for 5G mid-term Evolution systems",Research,,2022.0,,2022-10-07
5G-STARDUST,SNS JU,PROGRAM,"Smart communication components, systems and networks for 5G mid-term Evolution systems",Research,,2022.0,,2022-10-07
SEASON,SNS JU,PROGRAM,"Smart communication components, systems and networks for 5G mid-term Evolution systems",Research,,2022.0,,2022-10-07
6Green,SNS JU,PROGRAM,"Smart communication components, systems and networks for 5G mid-term Evolution systems",Research,,2022.0,,2022-10-07
VERGE,SNS JU,PROGRAM,"Smart communication components, systems and networks for 5G mid-term Evolution systems",Research,,2022.0,,2022-10-07
NANCY,SNS JU,PROGRAM,"Smart communication components, systems and networks for 5G mid-term Evolution systems",Research,,2022.0,,2022-10-07
ACROSS,SNS JU,PROGRAM,"Smart communication components, systems and networks for 5G mid-term Evolution systems",Research,,2022.0,,2022-10-07
EINSTEIN6G,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
ADROIT6G,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
DESIRE6G,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
PREDICT-6G,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
TERA6G,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
TERRAMETA,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
6GTandem,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
CENTRIC,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
TIMES,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
FLEX-SCALE,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
ETHER,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
6G-NTN,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
SUPERIOT,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
CONFIDENTIAL6G,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
RIGOUROUS,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
HORSE,SNS JU,PROGRAM,"The SNS JU HORSE project studies how to exploit 5G concepts to define what 6G networks will be like, introducing the new paradigms of digital twins and Artificial Intelligence. The project is coordinated by Consorzio Nazionale Interuniversitario per le Telecomunicazioni (CNIT) and involves 14 partners across Europe (Fig. 2). It is funded for around €7m in the framework of the Smart Networks and Services Joint Undertaking (SNS JU) initiative for 2023-2025, and it consists of a series of projects that define Phase 1 of 6G design. The project coordinator is Prof Fabrizio Granelli, a Professor at the University of Trento and Member of the CNIT Research Unit in Trento, Italy.",Research,,2022.0,,2022-10-07
PRIVATEER,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
Hexa-X 2,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
6G-SHINE,SNS JU,PROGRAM,Research for revolutionary technology advancement towards 6G,Research,,2022.0,,2022-10-07
6G-SANDBOX,SNS JU,PROGRAM,SNS experimental infrastructures,Research,,2022.0,,2022-10-07
6G-BRICKS,SNS JU,PROGRAM,SNS experimental infrastructures,Research,,2022.0,,2022-10-07
6G-XR,SNS JU,PROGRAM,SNS experimental infrastructures,Research,,2022.0,,2022-10-07
TARGET-X,SNS JU,PROGRAM,Large-Scale SNS Trials and Pilots,Research,,2022.0,,2022-10-07
TrialsNet,SNS JU,PROGRAM,Large-Scale SNS Trials and Pilots,Research,,2022.0,,2022-10-07
FIDAL,SNS JU,PROGRAM,Large-Scale SNS Trials and Pilots,Research,,2022.0,,2022-10-07
IMAGINE-B5G,SNS JU,PROGRAM,Large-Scale SNS Trials and Pilots,Research,,2022.0,,2022-10-07
Ericsson,DETERMINISTIC 6G,PROJECT,"To solve one of the key challenges of new 6G networks, predictable end-to-end connections between users, processes, and digital representations in cyber world",Commercial,,2023.0,,2023-02-06
Orange,DETERMINISTIC 6G,PROJECT,"To solve one of the key challenges of new 6G networks, predictable end-to-end connections between users, processes, and digital representations in cyber world",Commercial,,2023.0,,2023-02-06
B&R,DETERMINISTIC 6G,PROJECT,"To solve one of the key challenges of new 6G networks, predictable end-to-end connections between users, processes, and digital representations in cyber world",Commercial,,2023.0,,2023-02-06
IUVO,DETERMINISTIC 6G,PROJECT,"To solve one of the key challenges of new 6G networks, predictable end-to-end connections between users, processes, and digital representations in cyber world",Commercial,,2023.0,,2023-02-06
SSSA,DETERMINISTIC 6G,PROJECT,"To solve one of the key challenges of new 6G networks, predictable end-to-end connections between users, processes, and digital representations in cyber world",Commercial,,2023.0,,2023-02-06
KTH Royal Institute of Technology,DETERMINISTIC 6G,PROJECT,"To solve one of the key challenges of new 6G networks, predictable end-to-end connections between users, processes, and digital representations in cyber world",Academia,,2023.0,,2023-02-06
Univeristy of Stuttgart,DETERMINISTIC 6G,PROJECT,"To solve one of the key challenges of new 6G networks, predictable end-to-end connections between users, processes, and digital representations in cyber world",Academia,,2023.0,,2023-02-06
Silicon Austria Labs,DETERMINISTIC 6G,PROJECT,"To solve one of the key challenges of new 6G networks, predictable end-to-end connections between users, processes, and digital representations in cyber world",Academia,,2023.0,,2023-02-06
Cumucore,DETERMINISTIC 6G,PROJECT,"To solve one of the key challenges of new 6G networks, predictable end-to-end connections between users, processes, and digital representations in cyber world",SME,,2023.0,,2023-02-06
Montimage,DETERMINISTIC 6G,PROJECT,"To solve one of the key challenges of new 6G networks, predictable end-to-end connections between users, processes, and digital representations in cyber world",SME,,2023.0,,2023-02-06
Cohere Tecnologies,Cohere OTFS,PROJECT,evaluate Orthogonal Time Frequency Space (OTFS) for 6G,Commercial,,2023.0,,2023-01-30
Bell Ventures,Cohere OTFS,PROJECT,evaluate Orthogonal Time Frequency Space (OTFS) for 6G,Investor,,2023.0,,2023-01-30
Keysight Technologies,6G-SANDBOX,PROJECT,"combine digital and physical nodes to deliver fully configurable, manageable, and controllable end-to-end networks for validating new technologies and research advancements for 6G",Commercial,,2023.0,,2023-02-06
Keysight Technologies,CENTRIC,PROJECT,enable sustainable user-centric 6G networks based on air-interfaces that use artificial intelligence (AI) technology.,Commercial,,2023.0,,2023-02-06
Keysight Technologies,IMAGINE-B5G,PROJECT,"implement an advanced, easily accessible, secure, and programmable end-to-end beyond 5G platform leveraging best-of-breed network functions and cloud native principles",Commercial,,2023.0,,2023-02-06
Keysight Technologies,6G SHINE,PROJECT,"pioneer the main technology components for short range extreme communications in entities, replacing some of today’s wired connection",Commercial,,2023.0,,2023-02-06
Vodafone Germany,6G Health,PROJECT,to develop “innovative 6G infrastructure” for use in medical technology,Research,,2023.0,DE,2023-02-09
Ministry of Education Research (BMBF),6G Health,PROJECT,to develop “innovative 6G infrastructure” for use in medical technology,Government,,2023.0,DE,2023-02-09
Infineon Technologies AG,6G Health,PROJECT,to develop “innovative 6G infrastructure” for use in medical technology,Commercial,,2023.0,DE,2023-02-09
Siemens AG,6G Health,PROJECT,to develop “innovative 6G infrastructure” for use in medical technology,Commercial,,2023.0,DE,2023-02-09
Smart Mobile Labs,6G Health,PROJECT,to develop “innovative 6G infrastructure” for use in medical technology,Commercial,,2023.0,DE,2023-02-09
Martin-Luther-Universität Halle-Wittenberg,6G Health,PROJECT,to develop “innovative 6G infrastructure” for use in medical technology,Academia,,2023.0,DE,2023-02-09
University of Bremen,6G Health,PROJECT,to develop “innovative 6G infrastructure” for use in medical technology,Academia,,2023.0,DE,2023-02-09
University of Leipzig,6G Health,PROJECT,to develop “innovative 6G infrastructure” for use in medical technology,Academia,,2023.0,DE,2023-02-09
Rostock University,6G Health,PROJECT,to develop “innovative 6G infrastructure” for use in medical technology,Academia,,2023.0,DE,2023-02-09
NTT,IOWN for 6G,PROJECT,No online summary found.,Commercial,,2023.0,JP,2023-03-01
KDDI,IOWN for 6G,PROJECT,No online summary found.,Commercial,,2023.0,JP,2023-03-01
Keysight Technologies,Keysight ADI MoU,MOU,"MoU will accelerate development in virtualization, cloud computing, AI, higher order antenna systems, new spectrum opportunities, security, and new waveforms",Commercial,,2023.0,,2023-02-27
Analog Devices,Keysight ADI MoU,MOU,"MoU will accelerate development in virtualization, cloud computing, AI, higher order antenna systems, new spectrum opportunities, security, and new waveforms",Commercial,,2023.0,,2023-02-27
BusinessFinland,6G Bridge,PARTNERSHIP,collaborative research project to develop an advanced system architecture for as-yet-unstandardized “6G” systems,Government,,2021.0,FI,2021-07-15
Electronics and Telecommunications Research Institute (ETRI),6G Bridge,PARTNERSHIP,collaborative research project to develop an advanced system architecture for as-yet-unstandardized “6G” systems,Research,,2021.0,KR,2021-07-15
S. Korea Ministry of Science and ICT,6G Bridge,PARTNERSHIP,collaborative research project to develop an advanced system architecture for as-yet-unstandardized “6G” systems,Government,,2021.0,KR,2021-07-15
Telefónica,ENABLE 6G,PROJECT,"Address challenges in capacity, energy efficiency, latency, and data security and privacy",Commercial,,2023.0,ES,2023-04-24
NEC Corporation,ENABLE 6G,PROJECT,"Address challenges in capacity, energy efficiency, latency, and data security and privacy",Commercial,,2023.0,ES,2023-04-24
BluSpecs,ENABLE 6G,PROJECT,"Address challenges in capacity, energy efficiency, latency, and data security and privacy",Commercial,,2023.0,ES,2023-04-24
European Union-NextGenerationEU,ENABLE 6G,PROJECT,"Address challenges in capacity, energy efficiency, latency, and data security and privacy",Government,,2023.0,,2023-04-24
Ministry of Economic Affairs and Digital Transformation (Spain),ENABLE 6G,PROJECT,"Address challenges in capacity, energy efficiency, latency, and data security and privacy",Government,,2023.0,ES,2023-04-24
ETRI,Personal Aerial Vehicles (PAV) Project,PROJECT,6G era kicks off in Incheon with personal aerial vehicle tests over western islands ,Research,,2023.0,KR,2023-05-10
Incheon Free Economic Zone,Personal Aerial Vehicles (PAV) Project,PROJECT,6G era kicks off in Incheon with personal aerial vehicle tests over western islands,Government,,2023.0,KR,2023-05-10
Incheon Housing and City Development Corp,Personal Aerial Vehicles (PAV) Project,PROJECT,6G era kicks off in Incheon with personal aerial vehicle tests over western islands,Government,,2023.0,KR,2023-05-10
Incheon Techno Park,Personal Aerial Vehicles (PAV) Project,PROJECT,6G era kicks off in Incheon with personal aerial vehicle tests over western islands,Commercial,,2023.0,KR,2023-05-10
6G IA,EU Taiwan cooperation,PARTNERSHIP,"Europe's 6G IA and Taiwan's TAICS ink MoU on future 6G, bridging the gap between research, standards and industry",Association,,2023.0,,2023-05-31
Taiwan Association of Information and Communication Standards (TAICS),EU Taiwan cooperation,PARTNERSHIP,"Europe's 6G IA and Taiwan's TAICS ink MoU on future 6G, bridging the gap between research, standards and industry",Research,,2023.0,,2023-05-31
ITRI,ITRI EURECOM MoU,MOU,ITRI and EURECOM Sign an MoU on 6G Cooperation ,Research,,2023.0,,2023-06-20
EURECOM,ITRI EURECOM MoU,MOU,ITRI and EURECOM Sign an MoU on 6G Cooperation ,Research,,2023.0,FR,2023-06-20
US State Department,6G Joint Statement,EVENT,US State Department - Technology cooperation,Government,,2023.0,US,2023-06-02
Government of Finland,6G Joint Statement,EVENT,Finland Ministry of Foreign Affairs - Technology cooperation,Government,,2023.0,FI,2023-06-02
InterDigital,InterDigital at 6GIC,PARTNERSHIP,"InterDigital, University of Surrey sign 6G research partnership",Commercial,,2023.0,US,2023-06-20
University of Surrey 6G Innovation Center,InterDigital at 6GIC,PARTNERSHIP,"InterDigital, University of Surrey sign 6G research partnership",Academia,,2023.0,GB,2023-06-20
Bavarian Ministry of Economic Affairs,Thinknet 6G,PARTNERSHIP,"Bavarian Ministry of Economic Affairs, Regional Development and Energy founded Thinknet 6G to create an agile ecosystem of industry players, research institutions, associations, innovators, start-ups and incubators. Thinknet 6G is both a think tank and an agile community for all organizations and stakeholders who are interested in any aspect of 6G development.",Government,,2021.0,DE,2021-03-24
Centre for Digitalisation Bavaria,Thinknet 6G,PARTNERSHIP,"Bavarian Ministry of Economic Affairs, Regional Development and Energy founded Thinknet 6G to create an agile ecosystem of industry players, research institutions, associations, innovators, start-ups and incubators. Thinknet 6G is both a think tank and an agile community for all organizations and stakeholders who are interested in any aspect of 6G development.",Government,,2021.0,DE,2021-03-24
University of Oulu,6GBRIDGE-6GCORE,PROJECT,Finland and South Korea join forces in the 6GBRIDGE-6GCORE project to develop advanced system architecture,Academia,,2023.0,FI,2023-01-30
ETRI,6GBRIDGE-6GCORE,PROJECT,Finland and South Korea join forces in the 6GBRIDGE-6GCORE project to develop advanced system architecture,Research,,2023.0,KR,2023-01-30
SNU,6GBRIDGE-6GCORE,PROJECT,Finland and South Korea join forces in the 6GBRIDGE-6GCORE project to develop advanced system architecture,Research,,2023.0,KR,2023-01-30
LG+,6GBRIDGE-6GCORE,PROJECT,Finland and South Korea join forces in the 6GBRIDGE-6GCORE project to develop advanced system architecture,Commercial,,2023.0,KR,2023-01-30
Tata Consultancy Services,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Commercial,,2023.0,IN,2023-07-03
Indian Institute of Technology Madras,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Academia,,2023.0,IN,2023-07-03
Indian Institute of Technology Kanpur,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Academia,,2023.0,IN,2023-07-03
Airtel,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Commercial,,2023.0,IN,2023-07-03
Jio,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Commercial,,2023.0,IN,2023-07-03
Vodafone Idea Limited,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Commercial,,2023.0,IN,2023-07-03
C-DOT,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Government,,2023.0,IN,2023-07-03
Indian Institute of Technology Bombay,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Academia,,2023.0,IN,2023-07-03
WiSig Networks,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Commercial,,2023.0,IN,2023-07-03
Lekha Wireless Solutions,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Commercial,,2023.0,IN,2023-07-03
Tejas Networks,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Commercial,,2023.0,IN,2023-07-03
SignalChip,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Commercial,,2023.0,IN,2023-07-03
VVDN Technologies,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Commercial,,2023.0,IN,2023-07-03
Nivetti Systems,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Commercial,,2023.0,IN,2023-07-03
Tech Mahindra,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Commercial,,2023.0,IN,2023-07-03
TCOE India,Bharat 6G Alliance (B6GA),PARTNERSHIP,Bharat 6G Alliance launched by DoT to Foster Innovation and Collaboration in Next_x0002_Generation Wireless Technology,Research,,2023.0,IN,2023-07-03
"CNIT - National, Inter-University Consortium for Telecommunication",one6G Association,PARTNERSHIP,No online summary found.,Research,,2021.0,IT,2021-04-01
ADLINK,one6G Association,PARTNERSHIP,No online summary found.,Commercial,,2021.0,,2021-04-01
DoCoMo Euro Labs,one6G Association,PARTNERSHIP,No online summary found.,Research,,2021.0,DE,2021-04-01
National and Kapodistrian University of Athens,one6G Association,PARTNERSHIP,No online summary found.,Academia,,2021.0,GR,2021-04-01
Telcaria,one6G Association,PARTNERSHIP,No online summary found.,Commercial,,2021.0,ES,2021-04-01
Fivecomm,one6G Association,PARTNERSHIP,No online summary found.,Commercial,,2021.0,ES,2021-04-01
INATEL,one6G Association,PARTNERSHIP,No online summary found.,Research,,2021.0,BR,2021-04-01
Aalborg University,one6G Association,PARTNERSHIP,No online summary found.,Academia,,2021.0,DK,2021-04-01
Braunschweig University,one6G Association,PARTNERSHIP,No online summary found.,Academia,,2021.0,DE,2021-04-01
MRI,one6G Association,PARTNERSHIP,No online summary found.,Academia,,2021.0,DE,2021-04-01
Universitat Politècnica de Valencia,one6G Association,PARTNERSHIP,No online summary found.,Academia,,2021.0,ES,2021-04-01
Huawei,one6G Association,PARTNERSHIP,No online summary found.,Commercial,,2021.0,CN,2021-04-01
Telenor Group,one6G Association,PARTNERSHIP,No online summary found.,Commercial,,2021.0,NO,2021-04-01
Hochschule Stralsund,one6G Association,PARTNERSHIP,No online summary found.,Academia,,2021.0,DE,2021-04-01
56GIC - University of Surrey,one6G Association,PARTNERSHIP,No online summary found.,Research,,2021.0,GB,2021-04-01
Norweigan University of Science and Technology,one6G Association,PARTNERSHIP,No online summary found.,Academia,,2021.0,NO,2021-04-01
Kings College London,one6G Association,PARTNERSHIP,No online summary found.,Academia,,2021.0,GB,2021-04-01
IAF (Future Radio Technology),one6G Association,PARTNERSHIP,No online summary found.,Research,,2021.0,DE,2021-04-01
ITMO University,one6G Association,PARTNERSHIP,No online summary found.,Academia,,2021.0,RU,2021-04-01
AICO,one6G Association,PARTNERSHIP,No online summary found.,Commercial,,2021.0,AT,2021-04-01
Keysight Technologies,one6G Association,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-04-01
Technische Universität Ilmenau,one6G Association,PARTNERSHIP,No online summary found.,Academia,,2021.0,DE,2021-04-01
University of Alcala,one6G Association,PARTNERSHIP,No online summary found.,Academia,,2021.0,ES,2021-04-01
Queen Mary University,one6G Association,PARTNERSHIP,No online summary found.,Academia,,2021.0,GB,2021-04-01
ITI (investigate to Innovate),one6G Association,PARTNERSHIP,No online summary found.,Commercial,,2021.0,ES,2021-04-01
Viavi,one6G Association,PARTNERSHIP,No online summary found.,Commercial,,2021.0,US,2021-04-01
EXFO,one6G Association,PARTNERSHIP,No online summary found.,Commercial,,2021.0,CA,2021-04-01
University of Patras,one6G Association,PARTNERSHIP,No online summary found.,Academia,,2021.0,GR,2021-04-01
